Column1,Column2,Column3,Column4,Column5,Column6,Column7,,
"Finish Date:,01/01/0001 00:00:00",,,,,,,,
"Finish Date Format:,G",,,,,,,,
"Finish Year:,0",,,,,,,,
"Finish Week:,52",,,,,,,,
"Manufacturing Year:,2022",,,,,,,,
"Manufacturing Week:,10",,,,,,,,
Cell ID,Total Time (Seconds),Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Cell_body_Upper_part (C),,
999999,1,1500,0,0,0,20,,
999999,2,1500,0,0,0,20,,
999999,3,1500,0,0,0,20,,
999999,4,1500,0,0,0,20,,
999999,5,1500,0,0,0,20,,
999999,6,1500,0,0,0,20,,
999999,7,1500,0,0,0,20,,
999999,8,1500,0,0,0,20,,
999999,9,1500,0,0,0,20,,
999999,10,1500,0,0,0,20,,
999999,11,1500,0,0,0,20,,
999999,12,1500,0,0,0,20,,
999999,13,1500,15000,0,0,20,,
999999,14,1500.000038,15000,4.166666667,0,20.00833333,,
999999,15,1500.000154,15000,8.333333333,0,20.01666667,,
999999,16,1500.000346,15000,12.5,0,20.025,,
999999,17,1500.000615,15000,16.66666667,0,20.03333333,,
999999,18,1500.000962,15000,20.83333333,0,20.04166667,,
999999,19,1500.001385,15000,25,0,20.05,,
